level	unit	left	right	left_category	right_category	cells
group	12wk_3d	cell type	clusterK12_stringent	Hybrid lung/gastric-like	01	0
group	12wk_3d	cell type	clusterK12_stringent	Hybrid lung/gastric-like	02	0
group	12wk_3d	cell type	clusterK12_stringent	Hybrid lung/gastric-like	03	0
group	12wk_3d	cell type	clusterK12_stringent	Hybrid lung/gastric-like	04	0
group	12wk_3d	cell type	clusterK12_stringent	Hybrid lung/gastric-like	05	0
group	12wk_3d	cell type	clusterK12_stringent	Hybrid lung/gastric-like	06	0
group	12wk_3d	cell type	clusterK12_stringent	Hybrid lung/gastric-like	07	0
group	12wk_3d	cell type	clusterK12_stringent	Hybrid lung/gastric-like	08	14
group	12wk_3d	cell type	clusterK12_stringent	Hybrid lung/gastric-like	09	6
group	12wk_3d	cell type	clusterK12_stringent	Hybrid lung/gastric-like	11	0
group	12wk_3d	cell type	clusterK12_stringent	Hybrid lung/gastric-like	12	0
group	12wk_3d	cell type	clusterK12_stringent	Hybrid lung/gastric-like	other	2
group	12wk_3d	cell type	clusterK12_stringent	Lung endoderm-like	01	3
group	12wk_3d	cell type	clusterK12_stringent	Lung endoderm-like	02	0
group	12wk_3d	cell type	clusterK12_stringent	Lung endoderm-like	03	1
group	12wk_3d	cell type	clusterK12_stringent	Lung endoderm-like	04	1
group	12wk_3d	cell type	clusterK12_stringent	Lung endoderm-like	05	2
group	12wk_3d	cell type	clusterK12_stringent	Lung endoderm-like	06	0
group	12wk_3d	cell type	clusterK12_stringent	Lung endoderm-like	07	0
group	12wk_3d	cell type	clusterK12_stringent	Lung endoderm-like	08	3
group	12wk_3d	cell type	clusterK12_stringent	Lung endoderm-like	09	5
group	12wk_3d	cell type	clusterK12_stringent	Lung endoderm-like	11	0
group	12wk_3d	cell type	clusterK12_stringent	Lung endoderm-like	12	0
group	12wk_3d	cell type	clusterK12_stringent	Lung endoderm-like	other	13
group	12wk_3d	cell type	clusterK12_stringent	Ribosome	01	0
group	12wk_3d	cell type	clusterK12_stringent	Ribosome	02	0
group	12wk_3d	cell type	clusterK12_stringent	Ribosome	03	0
group	12wk_3d	cell type	clusterK12_stringent	Ribosome	04	0
group	12wk_3d	cell type	clusterK12_stringent	Ribosome	05	0
group	12wk_3d	cell type	clusterK12_stringent	Ribosome	06	2
group	12wk_3d	cell type	clusterK12_stringent	Ribosome	07	0
group	12wk_3d	cell type	clusterK12_stringent	Ribosome	08	0
group	12wk_3d	cell type	clusterK12_stringent	Ribosome	09	2
group	12wk_3d	cell type	clusterK12_stringent	Ribosome	11	0
group	12wk_3d	cell type	clusterK12_stringent	Ribosome	12	0
group	12wk_3d	cell type	clusterK12_stringent	Ribosome	other	3
group	12wk_3d	clusterK12	clusterK12_stringent	01	01	19
group	12wk_3d	clusterK12	clusterK12_stringent	01	02	0
group	12wk_3d	clusterK12	clusterK12_stringent	01	03	0
group	12wk_3d	clusterK12	clusterK12_stringent	01	04	0
group	12wk_3d	clusterK12	clusterK12_stringent	01	05	0
group	12wk_3d	clusterK12	clusterK12_stringent	01	06	0
group	12wk_3d	clusterK12	clusterK12_stringent	01	07	0
group	12wk_3d	clusterK12	clusterK12_stringent	01	08	0
group	12wk_3d	clusterK12	clusterK12_stringent	01	09	0
group	12wk_3d	clusterK12	clusterK12_stringent	01	11	0
group	12wk_3d	clusterK12	clusterK12_stringent	01	12	0
group	12wk_3d	clusterK12	clusterK12_stringent	01	other	8
group	12wk_3d	clusterK12	clusterK12_stringent	02	01	0
group	12wk_3d	clusterK12	clusterK12_stringent	02	02	24
group	12wk_3d	clusterK12	clusterK12_stringent	02	03	0
group	12wk_3d	clusterK12	clusterK12_stringent	02	04	0
group	12wk_3d	clusterK12	clusterK12_stringent	02	05	0
group	12wk_3d	clusterK12	clusterK12_stringent	02	06	0
group	12wk_3d	clusterK12	clusterK12_stringent	02	07	0
group	12wk_3d	clusterK12	clusterK12_stringent	02	08	0
group	12wk_3d	clusterK12	clusterK12_stringent	02	09	0
group	12wk_3d	clusterK12	clusterK12_stringent	02	11	0
group	12wk_3d	clusterK12	clusterK12_stringent	02	12	0
group	12wk_3d	clusterK12	clusterK12_stringent	02	other	19
group	12wk_3d	clusterK12	clusterK12_stringent	03	01	0
group	12wk_3d	clusterK12	clusterK12_stringent	03	02	0
group	12wk_3d	clusterK12	clusterK12_stringent	03	03	51
group	12wk_3d	clusterK12	clusterK12_stringent	03	04	0
group	12wk_3d	clusterK12	clusterK12_stringent	03	05	0
group	12wk_3d	clusterK12	clusterK12_stringent	03	06	0
group	12wk_3d	clusterK12	clusterK12_stringent	03	07	0
group	12wk_3d	clusterK12	clusterK12_stringent	03	08	0
group	12wk_3d	clusterK12	clusterK12_stringent	03	09	0
group	12wk_3d	clusterK12	clusterK12_stringent	03	11	0
group	12wk_3d	clusterK12	clusterK12_stringent	03	12	0
group	12wk_3d	clusterK12	clusterK12_stringent	03	other	6
group	12wk_3d	clusterK12	clusterK12_stringent	04	01	0
group	12wk_3d	clusterK12	clusterK12_stringent	04	02	0
group	12wk_3d	clusterK12	clusterK12_stringent	04	03	0
group	12wk_3d	clusterK12	clusterK12_stringent	04	04	2
group	12wk_3d	clusterK12	clusterK12_stringent	04	05	0
group	12wk_3d	clusterK12	clusterK12_stringent	04	06	0
group	12wk_3d	clusterK12	clusterK12_stringent	04	07	0
group	12wk_3d	clusterK12	clusterK12_stringent	04	08	0
group	12wk_3d	clusterK12	clusterK12_stringent	04	09	0
group	12wk_3d	clusterK12	clusterK12_stringent	04	11	0
group	12wk_3d	clusterK12	clusterK12_stringent	04	12	0
group	12wk_3d	clusterK12	clusterK12_stringent	04	other	4
group	12wk_3d	clusterK12	clusterK12_stringent	05	01	0
group	12wk_3d	clusterK12	clusterK12_stringent	05	02	0
group	12wk_3d	clusterK12	clusterK12_stringent	05	03	0
group	12wk_3d	clusterK12	clusterK12_stringent	05	04	0
group	12wk_3d	clusterK12	clusterK12_stringent	05	05	508
group	12wk_3d	clusterK12	clusterK12_stringent	05	06	0
group	12wk_3d	clusterK12	clusterK12_stringent	05	07	0
group	12wk_3d	clusterK12	clusterK12_stringent	05	08	0
group	12wk_3d	clusterK12	clusterK12_stringent	05	09	0
group	12wk_3d	clusterK12	clusterK12_stringent	05	11	0
group	12wk_3d	clusterK12	clusterK12_stringent	05	12	0
group	12wk_3d	clusterK12	clusterK12_stringent	05	other	32
group	12wk_3d	clusterK12	clusterK12_stringent	06	01	0
group	12wk_3d	clusterK12	clusterK12_stringent	06	02	0
group	12wk_3d	clusterK12	clusterK12_stringent	06	03	0
group	12wk_3d	clusterK12	clusterK12_stringent	06	04	0
group	12wk_3d	clusterK12	clusterK12_stringent	06	05	0
group	12wk_3d	clusterK12	clusterK12_stringent	06	06	5
group	12wk_3d	clusterK12	clusterK12_stringent	06	07	0
group	12wk_3d	clusterK12	clusterK12_stringent	06	08	0
group	12wk_3d	clusterK12	clusterK12_stringent	06	09	0
group	12wk_3d	clusterK12	clusterK12_stringent	06	11	0
group	12wk_3d	clusterK12	clusterK12_stringent	06	12	0
group	12wk_3d	clusterK12	clusterK12_stringent	06	other	12
group	12wk_3d	clusterK12	clusterK12_stringent	07	01	0
group	12wk_3d	clusterK12	clusterK12_stringent	07	02	0
group	12wk_3d	clusterK12	clusterK12_stringent	07	03	0
group	12wk_3d	clusterK12	clusterK12_stringent	07	04	0
group	12wk_3d	clusterK12	clusterK12_stringent	07	05	0
group	12wk_3d	clusterK12	clusterK12_stringent	07	06	0
group	12wk_3d	clusterK12	clusterK12_stringent	07	07	5
group	12wk_3d	clusterK12	clusterK12_stringent	07	08	0
group	12wk_3d	clusterK12	clusterK12_stringent	07	09	0
group	12wk_3d	clusterK12	clusterK12_stringent	07	11	0
group	12wk_3d	clusterK12	clusterK12_stringent	07	12	0
group	12wk_3d	clusterK12	clusterK12_stringent	07	other	3
group	12wk_3d	clusterK12	clusterK12_stringent	08	01	0
group	12wk_3d	clusterK12	clusterK12_stringent	08	02	0
group	12wk_3d	clusterK12	clusterK12_stringent	08	03	0
group	12wk_3d	clusterK12	clusterK12_stringent	08	04	0
group	12wk_3d	clusterK12	clusterK12_stringent	08	05	0
group	12wk_3d	clusterK12	clusterK12_stringent	08	06	0
group	12wk_3d	clusterK12	clusterK12_stringent	08	07	0
group	12wk_3d	clusterK12	clusterK12_stringent	08	08	30
group	12wk_3d	clusterK12	clusterK12_stringent	08	09	0
group	12wk_3d	clusterK12	clusterK12_stringent	08	11	0
group	12wk_3d	clusterK12	clusterK12_stringent	08	12	0
group	12wk_3d	clusterK12	clusterK12_stringent	08	other	10
group	12wk_3d	clusterK12	clusterK12_stringent	09	01	0
group	12wk_3d	clusterK12	clusterK12_stringent	09	02	0
group	12wk_3d	clusterK12	clusterK12_stringent	09	03	0
group	12wk_3d	clusterK12	clusterK12_stringent	09	04	0
group	12wk_3d	clusterK12	clusterK12_stringent	09	05	0
group	12wk_3d	clusterK12	clusterK12_stringent	09	06	0
group	12wk_3d	clusterK12	clusterK12_stringent	09	07	0
group	12wk_3d	clusterK12	clusterK12_stringent	09	08	0
group	12wk_3d	clusterK12	clusterK12_stringent	09	09	80
group	12wk_3d	clusterK12	clusterK12_stringent	09	11	0
group	12wk_3d	clusterK12	clusterK12_stringent	09	12	0
group	12wk_3d	clusterK12	clusterK12_stringent	09	other	45
group	12wk_3d	clusterK12	clusterK12_stringent	10	01	0
group	12wk_3d	clusterK12	clusterK12_stringent	10	02	0
group	12wk_3d	clusterK12	clusterK12_stringent	10	03	0
group	12wk_3d	clusterK12	clusterK12_stringent	10	04	0
group	12wk_3d	clusterK12	clusterK12_stringent	10	05	0
group	12wk_3d	clusterK12	clusterK12_stringent	10	06	0
group	12wk_3d	clusterK12	clusterK12_stringent	10	07	0
group	12wk_3d	clusterK12	clusterK12_stringent	10	08	0
group	12wk_3d	clusterK12	clusterK12_stringent	10	09	0
group	12wk_3d	clusterK12	clusterK12_stringent	10	11	0
group	12wk_3d	clusterK12	clusterK12_stringent	10	12	0
group	12wk_3d	clusterK12	clusterK12_stringent	10	other	3
group	12wk_3d	clusterK12	clusterK12_stringent	11	01	0
group	12wk_3d	clusterK12	clusterK12_stringent	11	02	0
group	12wk_3d	clusterK12	clusterK12_stringent	11	03	0
group	12wk_3d	clusterK12	clusterK12_stringent	11	04	0
group	12wk_3d	clusterK12	clusterK12_stringent	11	05	0
group	12wk_3d	clusterK12	clusterK12_stringent	11	06	0
group	12wk_3d	clusterK12	clusterK12_stringent	11	07	0
group	12wk_3d	clusterK12	clusterK12_stringent	11	08	0
group	12wk_3d	clusterK12	clusterK12_stringent	11	09	0
group	12wk_3d	clusterK12	clusterK12_stringent	11	11	3
group	12wk_3d	clusterK12	clusterK12_stringent	11	12	0
group	12wk_3d	clusterK12	clusterK12_stringent	11	other	8
group	12wk_3d	clusterK12	clusterK12_stringent	12	01	0
group	12wk_3d	clusterK12	clusterK12_stringent	12	02	0
group	12wk_3d	clusterK12	clusterK12_stringent	12	03	0
group	12wk_3d	clusterK12	clusterK12_stringent	12	04	0
group	12wk_3d	clusterK12	clusterK12_stringent	12	05	0
group	12wk_3d	clusterK12	clusterK12_stringent	12	06	0
group	12wk_3d	clusterK12	clusterK12_stringent	12	07	0
group	12wk_3d	clusterK12	clusterK12_stringent	12	08	0
group	12wk_3d	clusterK12	clusterK12_stringent	12	09	0
group	12wk_3d	clusterK12	clusterK12_stringent	12	11	0
group	12wk_3d	clusterK12	clusterK12_stringent	12	12	0
group	12wk_3d	clusterK12	clusterK12_stringent	12	other	0
group	14wk	cell type	clusterK12	AT1-like	01	0
group	14wk	cell type	clusterK12	AT1-like	02	0
group	14wk	cell type	clusterK12	AT1-like	03	58
group	14wk	cell type	clusterK12	AT1-like	04	1
group	14wk	cell type	clusterK12	AT1-like	05	7
group	14wk	cell type	clusterK12	AT1-like	06	3
group	14wk	cell type	clusterK12	AT1-like	07	0
group	14wk	cell type	clusterK12	AT1-like	08	6
group	14wk	cell type	clusterK12	AT1-like	09	1
group	14wk	cell type	clusterK12	AT1-like	10	0
group	14wk	cell type	clusterK12	AT1-like	11	0
group	14wk	cell type	clusterK12	AT1-like	12	0
group	14wk	cell type	clusterK12	AT2-like	01	40
group	14wk	cell type	clusterK12	AT2-like	02	32
group	14wk	cell type	clusterK12	AT2-like	03	4
group	14wk	cell type	clusterK12	AT2-like	04	82
group	14wk	cell type	clusterK12	AT2-like	05	31
group	14wk	cell type	clusterK12	AT2-like	06	8
group	14wk	cell type	clusterK12	AT2-like	07	0
group	14wk	cell type	clusterK12	AT2-like	08	31
group	14wk	cell type	clusterK12	AT2-like	09	11
group	14wk	cell type	clusterK12	AT2-like	10	3
group	14wk	cell type	clusterK12	AT2-like	11	1
group	14wk	cell type	clusterK12	AT2-like	12	2
group	14wk	cell type	clusterK12	EMT	01	0
group	14wk	cell type	clusterK12	EMT	02	0
group	14wk	cell type	clusterK12	EMT	03	0
group	14wk	cell type	clusterK12	EMT	04	0
group	14wk	cell type	clusterK12	EMT	05	4
group	14wk	cell type	clusterK12	EMT	06	0
group	14wk	cell type	clusterK12	EMT	07	0
group	14wk	cell type	clusterK12	EMT	08	0
group	14wk	cell type	clusterK12	EMT	09	0
group	14wk	cell type	clusterK12	EMT	10	0
group	14wk	cell type	clusterK12	EMT	11	5
group	14wk	cell type	clusterK12	EMT	12	0
group	14wk	cell type	clusterK12	HPCS	01	0
group	14wk	cell type	clusterK12	HPCS	02	1
group	14wk	cell type	clusterK12	HPCS	03	6
group	14wk	cell type	clusterK12	HPCS	04	0
group	14wk	cell type	clusterK12	HPCS	05	289
group	14wk	cell type	clusterK12	HPCS	06	6
group	14wk	cell type	clusterK12	HPCS	07	1
group	14wk	cell type	clusterK12	HPCS	08	5
group	14wk	cell type	clusterK12	HPCS	09	6
group	14wk	cell type	clusterK12	HPCS	10	0
group	14wk	cell type	clusterK12	HPCS	11	1
group	14wk	cell type	clusterK12	HPCS	12	0
group	14wk	cell type	clusterK12	Highly proliferative	01	4
group	14wk	cell type	clusterK12	Highly proliferative	02	1
group	14wk	cell type	clusterK12	Highly proliferative	03	1
group	14wk	cell type	clusterK12	Highly proliferative	04	0
group	14wk	cell type	clusterK12	Highly proliferative	05	6
group	14wk	cell type	clusterK12	Highly proliferative	06	1
group	14wk	cell type	clusterK12	Highly proliferative	07	21
group	14wk	cell type	clusterK12	Highly proliferative	08	0
group	14wk	cell type	clusterK12	Highly proliferative	09	1
group	14wk	cell type	clusterK12	Highly proliferative	10	0
group	14wk	cell type	clusterK12	Highly proliferative	11	1
group	14wk	cell type	clusterK12	Highly proliferative	12	0
group	14wk	cell type	clusterK12	Hybrid lung/gastric-like	01	0
group	14wk	cell type	clusterK12	Hybrid lung/gastric-like	02	0
group	14wk	cell type	clusterK12	Hybrid lung/gastric-like	03	0
group	14wk	cell type	clusterK12	Hybrid lung/gastric-like	04	0
group	14wk	cell type	clusterK12	Hybrid lung/gastric-like	05	0
group	14wk	cell type	clusterK12	Hybrid lung/gastric-like	06	0
group	14wk	cell type	clusterK12	Hybrid lung/gastric-like	07	0
group	14wk	cell type	clusterK12	Hybrid lung/gastric-like	08	93
group	14wk	cell type	clusterK12	Hybrid lung/gastric-like	09	2
group	14wk	cell type	clusterK12	Hybrid lung/gastric-like	10	2
group	14wk	cell type	clusterK12	Hybrid lung/gastric-like	11	0
group	14wk	cell type	clusterK12	Hybrid lung/gastric-like	12	0
group	14wk	cell type	clusterK12	Lung endoderm-like	01	14
group	14wk	cell type	clusterK12	Lung endoderm-like	02	3
group	14wk	cell type	clusterK12	Lung endoderm-like	03	8
group	14wk	cell type	clusterK12	Lung endoderm-like	04	78
group	14wk	cell type	clusterK12	Lung endoderm-like	05	26
group	14wk	cell type	clusterK12	Lung endoderm-like	06	37
group	14wk	cell type	clusterK12	Lung endoderm-like	07	0
group	14wk	cell type	clusterK12	Lung endoderm-like	08	31
group	14wk	cell type	clusterK12	Lung endoderm-like	09	7
group	14wk	cell type	clusterK12	Lung endoderm-like	10	7
group	14wk	cell type	clusterK12	Lung endoderm-like	11	0
group	14wk	cell type	clusterK12	Lung endoderm-like	12	2
group	14wk	cell type	clusterK12	Ribosome	01	0
group	14wk	cell type	clusterK12	Ribosome	02	0
group	14wk	cell type	clusterK12	Ribosome	03	0
group	14wk	cell type	clusterK12	Ribosome	04	0
group	14wk	cell type	clusterK12	Ribosome	05	0
group	14wk	cell type	clusterK12	Ribosome	06	0
group	14wk	cell type	clusterK12	Ribosome	07	0
group	14wk	cell type	clusterK12	Ribosome	08	0
group	14wk	cell type	clusterK12	Ribosome	09	0
group	14wk	cell type	clusterK12	Ribosome	10	0
group	14wk	cell type	clusterK12	Ribosome	11	0
group	14wk	cell type	clusterK12	Ribosome	12	0
group	14wk	cell type	clusterK12_stringent	AT1-like	01	0
group	14wk	cell type	clusterK12_stringent	AT1-like	02	0
group	14wk	cell type	clusterK12_stringent	AT1-like	03	48
group	14wk	cell type	clusterK12_stringent	AT1-like	04	0
group	14wk	cell type	clusterK12_stringent	AT1-like	05	3
group	14wk	cell type	clusterK12_stringent	AT1-like	06	0
group	14wk	cell type	clusterK12_stringent	AT1-like	07	0
group	14wk	cell type	clusterK12_stringent	AT1-like	08	1
group	14wk	cell type	clusterK12_stringent	AT1-like	09	0
group	14wk	cell type	clusterK12_stringent	AT1-like	11	0
group	14wk	cell type	clusterK12_stringent	AT1-like	12	0
group	14wk	cell type	clusterK12_stringent	AT1-like	other	24
group	14wk	cell type	clusterK12_stringent	AT2-like	01	23
group	14wk	cell type	clusterK12_stringent	AT2-like	02	20
group	14wk	cell type	clusterK12_stringent	AT2-like	03	1
group	14wk	cell type	clusterK12_stringent	AT2-like	04	27
group	14wk	cell type	clusterK12_stringent	AT2-like	05	12
group	14wk	cell type	clusterK12_stringent	AT2-like	06	1
group	14wk	cell type	clusterK12_stringent	AT2-like	07	0
group	14wk	cell type	clusterK12_stringent	AT2-like	08	11
group	14wk	cell type	clusterK12_stringent	AT2-like	09	9
group	14wk	cell type	clusterK12_stringent	AT2-like	11	0
group	14wk	cell type	clusterK12_stringent	AT2-like	12	0
group	14wk	cell type	clusterK12_stringent	AT2-like	other	141
group	14wk	cell type	clusterK12_stringent	EMT	01	0
group	14wk	cell type	clusterK12_stringent	EMT	02	0
group	14wk	cell type	clusterK12_stringent	EMT	03	0
group	14wk	cell type	clusterK12_stringent	EMT	04	0
group	14wk	cell type	clusterK12_stringent	EMT	05	2
group	14wk	cell type	clusterK12_stringent	EMT	06	0
group	14wk	cell type	clusterK12_stringent	EMT	07	0
group	14wk	cell type	clusterK12_stringent	EMT	08	0
group	14wk	cell type	clusterK12_stringent	EMT	09	0
group	14wk	cell type	clusterK12_stringent	EMT	11	4
group	14wk	cell type	clusterK12_stringent	EMT	12	0
group	14wk	cell type	clusterK12_stringent	EMT	other	3
group	14wk	cell type	clusterK12_stringent	HPCS	01	0
group	14wk	cell type	clusterK12_stringent	HPCS	02	0
group	14wk	cell type	clusterK12_stringent	HPCS	03	4
group	14wk	cell type	clusterK12_stringent	HPCS	04	0
group	14wk	cell type	clusterK12_stringent	HPCS	05	277
group	14wk	cell type	clusterK12_stringent	HPCS	06	2
group	14wk	cell type	clusterK12_stringent	HPCS	07	0
group	14wk	cell type	clusterK12_stringent	HPCS	08	1
group	14wk	cell type	clusterK12_stringent	HPCS	09	3
group	14wk	cell type	clusterK12_stringent	HPCS	11	1
group	14wk	cell type	clusterK12_stringent	HPCS	12	0
group	14wk	cell type	clusterK12_stringent	HPCS	other	27
group	14wk	cell type	clusterK12_stringent	Highly proliferative	01	3
group	14wk	cell type	clusterK12_stringent	Highly proliferative	02	0
group	14wk	cell type	clusterK12_stringent	Highly proliferative	03	0
group	14wk	cell type	clusterK12_stringent	Highly proliferative	04	0
group	14wk	cell type	clusterK12_stringent	Highly proliferative	05	2
group	14wk	cell type	clusterK12_stringent	Highly proliferative	06	0
group	14wk	cell type	clusterK12_stringent	Highly proliferative	07	11
group	14wk	cell type	clusterK12_stringent	Highly proliferative	08	0
group	14wk	cell type	clusterK12_stringent	Highly proliferative	09	0
group	14wk	cell type	clusterK12_stringent	Highly proliferative	11	0
group	14wk	cell type	clusterK12_stringent	Highly proliferative	12	0
group	14wk	cell type	clusterK12_stringent	Highly proliferative	other	20
